publishedAt,authorDisplayName,textDisplay,likeCount
2022-12-26T12:04:11Z,Ryhndlura,Kalo untuk pantau harga saham bisa ga tuh island nya?,0
2022-12-26T02:36:58Z,Tanker REAL MVP,"iP 14 : Pamer iPhone ditaro posisi kebalik ❎<br>iP 14 : Pamer iPhone ditaro posisi layar keatas ✅<br><br>Teori hape ditaro dibalik biar irit batre, padahal pamer ya ges ya 🫠",0
2022-12-25T09:01:12Z,diasarf,izin bertanya semoga ada yang jawab<br>budged mepet mending beli ip 14 pro budget habis/ip 13 pro budget ada sisa?? terimakasih buat yang jawab,0
2022-12-24T23:59:08Z,Driver Days Channel,"tetap jadi penonton setia iphone, tpi hp tetap pakek vivo y19",0
2022-12-24T12:51:29Z,Dani Idan,Di android always on display udah dari kapan wkwkwk,0
2022-12-24T10:54:43Z,Dwianto syaiful,Dylan adalah salah satu kesukaan steve job. Bob dylan. Mungkin semacam tribute buat steve job,0
2022-12-23T03:24:29Z,justinerblx1,bang sebenarnya ada game dynamic island yang tersembunyi namanya hit the island di appstore,0
2022-12-22T14:46:03Z,Sembilanbelas 08,Menantikan miui 14 yang katanya makin keren....😂,0
2022-12-22T09:13:39Z,Trian jekoniah,Bang spill wallpaper yang ada dithumbnail dong,0
2022-12-22T08:45:59Z,RIFUL 767,BISMILLAH semoga bisa kebeli IPHONE YG terbaru amin.....,2
2022-12-31T08:11:04Z,Syarifudin Baharsyah,Semoga punya iPhone hari ini dan dipakai hal Aamiin Ya Rabbal Alamin,0
2022-12-22T03:25:18Z,Reski Muhammad,"Bang, dylan record bisa diatur biar ga kelihatan ga",0
2022-12-22T03:01:20Z,Channel Ku Serba Ada,"Alhmdulillah puas pake 14 pro 128 ibox bukan pro max... Buat casual. Hp ke 2 buat kerja keras Realme 9 pro plus 256 edisi ff. Yg lain semngt bekerja, nabung. jgn pelit sodakoh. Loyal ke ortu.",0
2022-12-22T02:47:05Z,popcorn gameplay,"kasih informasi gadget tpi rela ngeluarin uang gara gara unboxing,informasi,dan kembangin channel😅",0
2022-12-21T21:49:37Z,Endang Nasution,🥲,0
2022-12-21T11:17:24Z,marawis nur al-baa'its,Allahumma sholli alaa sayidina muhammad,1
2022-12-31T08:11:14Z,Syarifudin Baharsyah,Semoga punya iPhone hari ini dan dipakai hal Aamiin Ya Rabbal Alamin,0
2022-12-20T15:27:45Z,Kardus Bobrok,ngaruh ke baterai ga si jadi cepet abis?,0
2022-12-23T01:45:36Z,Rahmat triguna sakti Rahmat,@Catur Zazan lah apasi,0
2022-12-23T00:27:09Z,Catur Zazan,@Rahmat triguna sakti Rahmat iy ip11 lh awet dripada a52s 60hz,0
2022-12-21T16:06:07Z,Rahmat triguna sakti Rahmat,"Mulai dr IP 11 sih baterai nya udah tahan gitu,gak cpt low",0
2022-12-20T14:05:34Z,MARUS [MAJU TERUS],"Sekarang it&#39;s okay blum bisa beli iphone 14, tapi nekss, Bissmilah bisa beli iphone 15",0
2022-12-23T12:32:54Z,Virlan Anggie,Nanggung sekalian aja iphone 20,0
2022-12-20T04:06:35Z,Hilmy Fadlan,"To someone (uncle sams) over there...<br>A:&quot;,,helloooo...! anybody home?....&quot;<br>B:(...............)<br>A; ....(a few hours later) ...Its so bored...<br>B: ..ohh,.so sorry,,,can I help you?<br>A: ooh no I&#39;m not..(( its too late..))",0
2022-12-19T16:24:01Z,Nedi Novianto,Bang jam tangan nya keren banget.😮,0
2022-12-19T14:57:31Z,Hmwa,Hp seharga kaplingan dikampungku....,0
2022-12-19T11:39:08Z,rhmt krnwn,"apa betul kamera depan iphone itu tdk berfungsi bg kaum cewe, krn di sosmed kebanyakan malah berfoto di cermin",0
2022-12-18T20:47:52Z,Reza Fahlavi,Tunggu iPhone 17 pro Max aja lah baru mau beli...😎,0
2022-12-18T04:34:36Z,Septic Gela,Saya barusan beli hape ipone 14 pro max di rumah NEW RUMAH APPLE <br>SAYA KIRIM PEMBATALAN KARENA SAYA SALAH ALAMAT SAYA MAU RUBAH TIDAK DI KASI <br>ALASAN SUDAH PAKING <br>PADHAL SAYA KONFIRMASI DARI MALAM SBLUM NI HARI KIRIM<br>MEREKA K AU PAGI DI TOLAK<br>SAYA SELALU NOMTOn GADGETIN MALAH SY BELI DI SRANKAN ADa link nya DI TOPed malah tidak jelas <br>Coba jagan di muat link hp penjualan toko toko yg tidak jelas gadgetin<br>Saya sudah kena dampak di tipu New rumah apple dengan 5idak mau di ajukan batal karena saya rubah alamat,2
2022-12-18T04:15:36Z,Pradipta Ramadhan30,iDiLand ni mirip sama sistem touchBar gak sih yang di macbook,2
2022-12-18T01:10:16Z,Rulzzzz😎,Bagi 1 bang,0
2022-12-17T22:44:07Z,Ahmad Yozi Alhidayah,Alhamdulillah nonton ni revisi dr ni hp langsung,0
2022-12-17T15:29:55Z,Evan,"awalnya mikir dilan dilan apaansi, DYnamic isLANd wkwkwk",0
2022-12-17T14:43:55Z,bromance shop,"Izin bertanya, kk ngejelasin kalo pake airpods ada gambar kecil di dilan nya ya. Itu airpods nya harus wajib pake airpods Dr produk Apple atau engga ya?saya tes pake airpods biasa tp gads gambar kecil di dilan nya. Terima kasih",0
2022-12-17T08:07:09Z,kha channel,Kira kira lebih baik beli iPhone 14 basemodel atau iPhone 12 pro ya? Minta saranya dong temen2 🙏,6
2023-02-22T15:07:56Z,Bagas Wicaksana,@Siti Rodhiah terus,0
